author      entry        time(h)
admin           CmArit       1.00 
admin           Cndctr       0.17 
admin           CnstAL       0.58 
admin           CoCon        0.17 
admin           CoReSh       0.25 
admin           CoTaAn       0.17 
admin           ComSpa       0.25 
admin           Commut       0.67 
admin           Compny       0.25 
admin           Comptn       0.17 
admin           ConDB        0.25 
admin           ConPen       0.33 
admin           Cone         0.25 
admin           ConstA       0.25 
admin           Consts       3.25 
admin           Conven       3.17 
admin           Corio        1.42 
admin           CouGau       0.17 
admin           CovTop       0.17 
admin           Cpctor       0.75 
admin           Cplx         3.50 
admin           CplxNo       0.92 
admin           Cpp0         0.83 
admin           CppMat       0.50 
admin           CpxInt       1.58 
admin           CrIntN       0.25 
admin           CraNic       0.25 
admin           CrnDen       1.08 
admin           CrosMt       0.42 
admin           Cross        1.25 
admin           CrossP       0.17 
admin           CulmF        0.42 
admin           CulmWf       0.83 
admin           CurCor       1.42 
admin           CurFit       0.33 
admin           CurLen       0.17 
admin           CurMag       0.17 
admin           Curl         0.92 
admin           CylHlm       0.50 
admin           CylLap       0.67 
admin           CylNab       0.50 
admin           Cylin        0.25 
admin           DFT          0.33 
admin           DGGRNt       0.42 
admin           DPol1        0.17 
admin           DatExp       0.42 
admin           DatTyp       0.17 
admin           DefInt       0.33 
admin           DelCry       0.25 
admin           DeltOr       0.42 
admin           Delta        5.50 
admin           Der          0.50 
admin           DerRul       1.08 
admin           DerV         0.42 
admin           DetPro       1.25 
admin           DetVol       0.25 
admin           Deter        2.08 
admin           DiaMaM       0.17 
admin           Dielec       0.58 
admin           DifOp        1.08 
admin           Diode        0.17 
admin           DipApr       0.17 
admin           DipEle       1.08 
admin           DipRad       0.17 
admin           DirPro       1.75 
admin           DirSum       1.92 
admin           DisCos       0.33 
admin           DivInv       1.25 
admin           Divgnc       0.33 
admin           DoF          0.33 
admin           Dople1       2.83 
admin           Dopler       1.50 
admin           Dot          0.33 
admin           DualSp       0.42 
admin           E            0.42 
admin           EBBox        0.17 
admin           EBP          0.17 
admin           EBS          0.25 
admin           EBTorq       0.67 
admin           EEng         0.67 
admin           EFIDE        0.17 
admin           EGausP       1.08 
admin           EGauss       1.00 
admin           EM1          0.25 
admin           EMHydr       0.42 
admin           EMLagP       0.42 
admin           EMRef        0.17 
admin           EMTDSE       0.33 
admin           EMulPo       0.42 
admin           EarthS       0.42 
admin           Efield       0.83 
admin           EleAdd       0.33 
admin           EleRes       0.25 
admin           EleWat       2.33 
admin           ElecPo       0.25 
admin           EliInt       0.25 
admin           Elips3       0.17 
admin           EngNor       4.75 
admin           Entrop       0.67 
admin           EqEng        0.25 
admin           EqPre        0.33 
admin           ExMI         1.08 
admin           ExchOp       2.67 
admin           ExpDec       0.25 
admin           F2Exm        0.58 
admin           FAmp         0.42 
admin           FD           0.17 
admin           FEDVR        0.50 
admin           FRW          0.25 
admin           FSBplt       1.17 
admin           FSBsct       0.33 
admin           FSExp        0.67 
admin           FSTri        0.33 
admin           FSW          1.50 
admin           FTExp        1.67 
admin           FTTri        0.17 
admin           FTvec        0.42 
admin           FaraEB       0.92 
admin           Fbasis       0.17 
admin           Fdecom       0.58 
admin           FiSph        0.17 
admin           FinStr       0.42 
admin           FldExp       0.25 
admin           Floque       0.33 
admin           FnalN2       0.25 
admin           FnalN3       0.17 
admin           FnalN4       0.17 
admin           FnalN5       0.42 
admin           FnalNt       16.58
admin           FootBl       0.25 
admin           Fouclt       0.42 
admin           FrNorm       0.92 
admin           FreeP1       0.50 
admin           Fresnl       0.17 
admin           FrobTh       0.83 
admin           Frog         0.17 
admin           FrogCr       0.17 
admin           FunDer       0.58 
admin           FunSpc       0.25 
admin           Fwork        0.25 
admin           GAUSS        1.08 
admin           GLquad       0.17 
admin           GSL          0.17 
admin           GVec         5.17 
admin           GVec0        0.17 
admin           GVecOp       0.50 
admin           GaliTr       0.17 
admin           Gama1        0.33 
admin           Gamma        1.17 
admin           Gamma2       0.33 
admin           GauEli       0.33 
admin           Gauge        0.17 
admin           GausBm       0.50 
admin           GausPk       0.25 
admin           GausWP       0.50 
admin           GaussU       3.83 
admin           GenYlm       0.92 
admin           Geomet       0.50 
admin           GitHub       0.50 
admin           GoodQN       0.33 
admin           Grad         0.58 
admin           GradNr       0.33 
admin           Gravty       0.17 
admin           Group        4.17 
admin           Group1       3.00 
admin           Group2       0.42 
admin           Group3       0.33 
admin           GroupN       1.00 
admin           GroupP       0.25 
admin           GrpRep       0.17 
admin           Gvec2        1.17 
admin           HTDSE        0.33 
admin           HWF          1.17 
admin           HWF0         0.17 
admin           Hallef       0.50 
admin           HamCan       2.33 
admin           HamPrn       1.25 
admin           Hanaly       0.25 
admin           HarFor       0.25 
admin           HarmF        2.17 
admin           HeAnal       7.25 
admin           HeTDSE       5.50 
admin           Heatco       0.25 
admin           HelDe        0.33 
admin           HelmTh       2.92 
admin           HerEig       0.92 
admin           HerMat       0.33 
admin           HerOp        0.17 
admin           HigDer       0.25 
admin           HionCr       3.50 
admin           HlmPr2       2.50 
admin           HmhzEq       0.50 
admin           HomT1        0.17 
admin           HomT3        0.25 
admin           HomT5        0.17 
admin           Homeul       0.25 
admin           Huygen       0.25 
admin           Hy1D2D       0.42 
admin           HyIon2       0.75 
admin           HyTDSE       3.08 
admin           HydroL       0.25 
admin           I            0.25 
admin           ISW          0.50 
admin           ISW2D        0.42 
admin           ITable       0.33 
admin           ITensr       1.08 
admin           IdCE         0.17 
admin           IdED1        0.25 
admin           IdNCE        1.33 
admin           IdPar        10.42
admin           IdSDp        1.08 
admin           IdeaS        0.17 
admin           Idens        0.25 
