entry    time(h)    author
I       0.25  addis         
ISW     0.58  addis         
ISW2D   0.58  addis         
ITable  0.25  addis         
ITensr  1.25  addis         
ITensr  0.17  JierPeter     
IdCE    0.17  addis         
IdED1   0.25  addis         
IdNCE   1.33  addis         
IdPar   10.42 addis         
IdParS  0.17  addis         
IdSDp   1.08  addis         
IdeaS   0.5   FFjet         
IdeaS   0.17  addis         
Ideal   1.33  JierPeter     
Ideals  1.08  JierPeter     
Idens   0.33  addis         
IdgEng  1.75  coppersoulfate
IdgEng  0.5   addis         
Igas    0.75  _Eden_        
ImgT    0.17  addis         
Induct  1.58  addis         
Iner    0.25  addis         
InerPd  3.5   addis         
InsAx   0.25  addis         
Int     0.25  addis         
IntBP   0.17  addis         
IntBP2  1.17  addis         
IntL    0.25  addis         
IntN    0.75  addis         
IntPry  0.33  addis         
InterP  0.33  addis         
InvDer  0.25  addis         
InvFun  0.33  addis         
InvFun  0.25  jingyuan      
InvKep  0.17  addis         
InvMGs  0.58  addis         
InvMat  0.67  addis         
InvNum  2     addis         
Invest  0.33  lxe           
Ising   0.33  addis         
Isomet  0.67  JierPeter     
JConst  0.33  addis         
JacCon  0.33  addis         
JcbDet  0.17  addis         
JcbDet  0.17  JierPeter     
JierGT  0.17  addis         
JuFunc  0.17  addis         
JuType  1.92  addis         
KELaw1  0.17  addis         
KPNum0  0.5   addis         
Keple1  0.67  addis         
Keple2  0.33  addis         
Kirch   2.42  FFjet         
Kirch   1.58  addis         
Klein   1.92  zhousiyi      
Knot    0.75  addis         
Konig   0.17  addis         
Kronec  0.17  hfb25         
Kummer  0.25  addis         
L2FunS  0.17  addis         
LC      0.58  FFjet         
LC      0.5   addis         
LPint   0.33  addis         
LPoint  1.25  addis         
LRLvec  0.25  addis         
LSpace  3.75  addis         
LSpace  1.25  JierPeter     
LSpoly  0.67  addis         
LTran1  0.17  addis         
LTrans  1.33  addis         
LVgaug  2.75  addis         
LagMul  0.25  addis         
LagPrb  0.17  addis         
Lagrng  1     addis         
Laguer  0.42  addis         
LambSh  0.92  addis         
Lanc    0.92  addis         
LapAsm  4.5   spain         
LapAsm  1.92  DTSIo         
LapAsm  0.58  addis         
LapEq   2.92  零穹            
LapEq   1.83  addis         
LapTra  0.75  FFjet         
LapTra  0.17  addis         
LapTra  0.17  JierPeter     
Laplac  0.42  addis         
Latex1  3.42  Chain         
Latex1  0.25  addis         
Lebesg  0.42  addis         
Legen   1.17  addis         
LenGau  1.5   addis         
LepSec  1.75  addis         
LeviCi  1.25  addis         
LiReC1  0.17  mingqiyan     
LieAlg  2.58  JierPeter     
LieAlg  0.17  addis         
LieGA   2     JierPeter     
LieGrp  1.75  JierPeter     
LieMor  0.5   JierPeter     
LieSub  1.5   JierPeter     
LieSub  0.17  addis         
Lim     1.67  addis         
Lim     1.25  JierPeter     
Lim0    1.75  addis         
Lim0    0.25  JierPeter     
LimArc  0.58  addis         
LinDep  0.33  addis         
LinEq   1     addis         
LinEq2  1.42  addis         
LinEqu  2.08  LittleFeng    
LinEqu  0.92  addis         
LinInd  0.25  addis         
LinMap  3.08  addis         
LinMap  0.67  JierPeter     
LinPot  0.83  addis         
LinSph  0.42  addis         
Linux   1.25  phlins        
Linux   0.75  addis         
LiouTh  1     addis         
Lissaj  1.83  切糕糕           
Lissaj  1.25  addis         
Lloyd   0.33  FFjet         
Lloyd   0.17  addis         
LoGaug  0.58  addis         
LoGaug  0.5   JierPeter     
Lorenz  0.33  addis         
LornzT  3.33  addis         
LornzT  0.5   JierPeter     
LstSqr  2.58  addis         
LumiMe  0.17  FFjet         
MBisec  0.17  addis         
MIfFor  0.17  addis         
MIthm   0.17  addis         
MM      0.75  xuke0422      
MM      0.17  addis         
MQuivr  0.17  addis         
MWEq    2.08  addis         
MWEq1   0.17  addis         
MWEq2   0.17  JierPeter     
MWRel   0.83  _Eden_        
MaAmpe  0.42  FFjet         
MaInte  1     FFjet         
MaInte  0.42  addis         
MagGau  0.5   addis         
MagMat  0.17  addis         
MagMom  0.75  addis         
MagneF  0.58  addis         
Make    0.42  addis         
Make0   0.67  addis         
ManPro  0.17  JierPeter     
Manif   1.75  JierPeter     
Manif   0.42  addis         
Manif   0.42  DTSIo         
Masche  0.25  零穹            
Mat     1.42  addis         
MatEig  1     addis         
MatEig  0.17  JierPeter     
MatExp  1.33  JierPeter     
MatFun  0.25  addis         
MatGif  0.67  addis         
MatLS   2     addis         
MatLS2  3.67  addis         
MatOtr  0.17  addis         
MatPlt  0.33  addis         
MatPol  0.92  addis         
MatRnk  1.25  addis         
MatSim  0.92  addis         
MatSpc  0.25  addis         
MatSto  0.75  addis         
MatSym  4.92  addis         
MatVar  0.58  addis         
MathHi  0.25  addis         
Matlab  0.42  addis         
MaxLik  0.58  addis         
MaxTns  0.25  JierPeter     
Mcoo    0.42  addis         
MeElec  0.33  FFjet         
MeanTh  0.58  JierPeter     
MeanTh  0.17  addis         
MecThe  0.58  addis         
MetEqv  0.25  addis         
MetalW  0.5   addis         
Metri2  2.75  addis         
Metric  4     addis         
MinSpa  0.67  JierPeter     
Mma     9.58  addis         
MnfAlg  1     JierPeter     
MoMaMo  0.25  FFjet         
MoMaMo  0.17  addis         
Module  1.25  JierPeter     
MolPre  0.33  addis         
MonoLi  0.17  addis         
MonoLi  0.17  FFjet         
MtPlot  1     addis         
MulPdf  0.83  addis         
MulSct  0.42  addis         
MyNab   0.42  addis         
NDtalr  0.83  addis         
NFTran  0.33  addis         
NFTran  0.17  零穹            
NJU12   0.58  切糕糕           
NJU13   0.42  切糕糕           
NJU14   0.33  切糕糕           
NJU15   0.33  切糕糕           
NJU16   0.33  切糕糕           
NJU17   0.58  切糕糕           
NJU18   0.5   切糕糕           
NJU19   0.58  切糕糕           
NLeib   0.42  addis         
NLinE2  0.58  addis         
NLinE3  0.58  addis         
NLinEq  1     addis         
NSet    2.25  JierPeter     
NSet    0.42  addis         
NSphV   1.25  addis         
Na11    4.75  xzllxls       
Na11    0.17  addis         
NashEm  0.25  DTSIo         
NatUni  5.42  addis         
NbdQM   0.17  addis         
NdFuri  0.83  addis         
NelMea  1     addis         
New2    2.17  addis         
New3    0.42  addis         
NineJ   0.5   addis         
No      0.17  addis         
NoUnit  1     addis         
Noethe  1.08  FFjet         
Noethe  0.25  addis         
NordEq  1.08  addis         
NormSG  0.42  addis         
NormSG  0.33  JierPeter     
NormV   1.83  addis         
NormV   1.5   DTSIo         
NtLcns  0.67  addis         
NumErr  1.42  addis         
NumPhy  0.17  addis         
NumVec  0.17  addis         
ODE     0.25  addis         
ODE1    2.08  addis         
ODE1    0.83  零穹            
ODE2P   4.42  JierPeter     
ODELap  1.25  JierPeter     
ODEa1   1.42  JierPeter     
ODEa2   0.67  JierPeter     
ODEa3   1.17  JierPeter     
ODEa4   4.17  JierPeter     
ODEb1   2.58  JierPeter     
ODEb2   1.83  JierPeter     
ODEb3   1.5   JierPeter     
ODEb4   1.75  JierPeter     
ODEint  0.5   JierPeter     
ODEsys  0.67  addis         
ObSys   1.17  JierPeter     
Ode2    0.17  addis         
Ode2N   0.17  addis         
OdeMid  0.25  addis         
OdeNum  0.42  addis         
OdeRK4  0.83  addis         
OpComu  0.67  addis         
OpExp   0.42  addis         
OpMat   0.33  addis         
OrNrB   0.92  addis         
OriSur  0.42  JierPeter     
OribP   0.17  addis         
OrthSb  0.58  addis         
OrthSp  1.42  addis         
Osiand  0.33  addis         
OvrDet  0.67  addis         
P2Line  0.67  hfb25         
P2Line  0.42  addis         
PChYlm  0.33  addis         
PChain  1.58  addis         
PCuvMo  1.25  addis         
PHEC    1.75  零穹            
PID     0.25  JierPeter     
PLaw    1.75  小熊慢慢说         
PLaw    0.58  addis         
PLaw1   0.25  addis         
PPrice  0.58  addis         
PSys    0.33  addis         
PTCont  0.25  addis         
PVgraf  0.58  addis         
PVgraf  0.25  FFjet         
PVnRT   0.92  addis         
PWave   1.83  addis         
PanBak  1.33  addis         
ParDer  0.17  addis         
ParOp   0.33  addis         
ParUni  0.67  JierPeter     
ParWav  3.17  addis         
Para3   0.17  addis         
ParaCr  2.75  addis         
ParaHy  1.17  addis         
ParaMa  0.25  FFjet         
Parity  0.42  addis         
PartiP  0.17  addis         
PauliE  0.83  addis         
PearsR  0.17  addis         
Pend    0.17  addis         
Pendu3  0.67  addis         
Pendu3  0.33  FFjet         
Perm    0.33  JierPeter     
PhRoc   2.08  addis         
PhShi1  0.17  addis         
PhSpace 1     _Eden_        
PhSpace 0.25  addis         
PhoGas  0.5   addis         
PiLin   1.83  DTSIo         
PiLin   0.25  addis         
Pl2Ylm  2.42  addis         
Pmd1    0.58  addis         
PoiEqu  0.33  addis         
PoiHP   1.08  JierPeter     
PolCrd  0.25  addis         
PolCur  0.58  addis         
Polar   0.33  addis         
PolyNm  0.5   addis         
Ponder  0.25  addis         
PrbJ    0.75  addis         
PrmSol  1.25  addis         
PrncAx  0.92  addis         
ProLap  0.83  FFjet         
Propos  0.17  addis         
Pscrol  0.75  なりもと          
Pscrol  0.33  addis         
Ptable  0.58  addis         
PwOrNr  0.75  addis         
PwvAdd  0.25  addis         
PyClas  0.25  addis         
PyData  0.42  addis         
PyExcp  0.5   addis         
PyFile  1.67  shizy0808     
PyFile  0.75  addis         
PyFit   0.42  addis         
PyFit   0.33  shizy0808     
PyFunc  1.5   shizy0808     
